date,close,volume,open,high,low
9/4/20,"$3,294.62 ",8753441,"$3,318 ","$3,381.50 ","$3,111.13 "
9/3/20,"$3,368 ",8161113,"$3,485 ","$3,488.41 ","$3,303 "
9/2/20,"$3,531.45 ",3931476,"$3,547 ","$3,552.25 ","$3,486.69 "
9/1/20,"$3,499.12 ",3476407,"$3,489.58 ","$3,513.87 ","$3,467 "
8/31/20,"$3,450.96 ",4185885,"$3,408.99 ","$3,495 ","$3,405 "
8/28/20,"$3,401.80 ",2896978,"$3,423 ","$3,433.37 ","$3,386.50 "
8/27/20,"$3,400 ",4264795,"$3,450.05 ","$3,453 ","$3,378 "
8/26/20,"$3,441.85 ",6508743,"$3,351.11 ","$3,451.74 ","$3,344.57 "
